id	Key	old	new
788	Moo Moo Farm	秘密母牛關卡	秘密乳牛關
789	Chaos Sanctum	混沌庇難所	混沌魔殿
790	The Pandemonium Fortress	群魔堡壘	混沌界要塞
792	Outer Steppes	郊外大草原	外圍荒原
794	City of the Damned	神罰之城	罪罰之城
795	Durance of Hate Level 3	憎恨的囚牢第三層	憎恨囚牢第三層
796	Durance of Hate Level 2	憎恨的囚牢第二層	憎恨囚牢第二層
797	Durance of Hate Level 1	憎恨的囚牢第一層	憎恨囚牢第一層
798	Disused Reliquary	廢棄的聖物	廢棄的聖殿
799	Ruined Fane	殘破的寺院	荒廢的寺院
801	Forgotten Reliquary	遺忘的聖物	遺忘的聖殿
803	Ruined Temple	殘破神殿	荒廢的神殿
804	Flayer Dungeon Level 3	剝皮地窖第三層	剝皮地牢第三層
805	Flayer Dungeon Level 2	剝皮地窖第二層	剝皮地牢第二層
806	Flayer Dungeon Level 1	剝皮地窖第一層	剝皮地牢第一層
807	Swampy Pit Level 3	沼澤地洞第三層	沼澤地穴第三層
808	Swampy Pit Level 2	沼澤地洞第二層	沼澤地穴第二層
809	Swampy Pit Level 1	沼澤地洞第一層	沼澤地穴第一層
815	Kurast Bazaar	庫拉斯特商場	庫拉斯特市集
818	Great Marsh	龐大濕地	大沼澤
820	Kurast Docktown	庫拉斯特海港	庫拉斯特港口
821	Durance of Hate	憎恨的囚牢	憎恨囚牢
822	Flayer Dungeon	剝皮地窖	剝皮地牢
823	Swampy Pit	沼澤地洞	沼澤地穴
824	Arcane Sanctuary	神秘庇難所	秘法聖殿
825	Duriel's Lair	塔.拉夏的房間	塔拉夏的密室
826	Tal Rasha's Tomb	塔.拉夏的古墓	塔拉夏的古墓
831	Claw Viper Temple Level 2	利爪腹蛇神殿第二層	利爪蛇魔神殿第二層
833	Stony Tomb Level 2	石製古墓第二層	古老石墓第二層
834	Claw Viper Temple Level 1	利爪腹蛇神殿第一層	利爪蛇魔神殿第一層
837	Stony Tomb Level 1	石製古墓第一層	古老石墓第一層
838	Palace Cellar Level 3	皇宮監牢第三層	皇宮地窖第三層
839	Palace Cellar Level 2	皇宮監牢第二層	皇宮地窖第二層
840	Palace Cellar Level 1	皇宮監牢第一層	皇宮地窖第一層
841	Harem Level 2	女眷住處第二層	後宮第二層
