id	Key	old	new
2225	shrine	神殿	聖壇
3255	Shrine	神殿	聖壇
3683	ShrMsg0	你完全沒有特別感覺。	你沒有任何感覺。
3684	ShrMsg1	你覺得重生一般。	你感到精神百倍。
3685	ShrMsg2	你覺得活力無限。	你感到生命力旺盛。
3686	ShrMsg3	你覺得能量全滿。	你感到能量充沛。
3687	ShrMsg4	你覺得生命不可思議的加強。	你感到生命力無比旺盛。
3688	ShrMsg5	你覺得體內灌入不可思議的能量。	你感到體內能量滿溢。
3690	ShrMsg7	你覺得隨時可以戰鬥。	你感到隨時能投身戰場。
3692	ShrMsg9	你不再畏懼冰凍了。	你不再畏懼冰寒了。
3693	ShrMsg10	你不再畏懼閃電了。	你不再畏懼電擊了。
3695	ShrMsg12	你覺得技能變強了。	你感到技巧變得熟練。
3696	ShrMsg13	你的精神力量快速的回復。	你的精神力量快速回復。
3699	ShrMsg16	你辨認的感官變得更敏銳了。	你對自我的認知隱約改變了。
3700	ShrMsg17	回家的自由...	回家的自由…
3701	ShrMsg18	一個神奇的寶石...	華貴的寶石…
3702	ShrMsg19	一個慘烈的死亡...	火熱的死亡…
3703	ShrMsg20	死亡的代言人靠近了。	死亡的代言人逼近了。
3704	ShrMsg21	火焰之環...	火焰之環…
3705	ShrMsg22	死亡之環...	死亡之環…
10809	ShrId0	空的神殿	空無聖壇
10810	ShrId1	回復神殿	回復聖壇
10811	ShrId2	生命神殿	生命聖壇
10812	ShrId3	法力神殿	法力聖壇
10813	ShrId4	生命交換神殿	生命交換聖壇
10814	ShrId5	法力交換神殿	法力交換聖壇
10815	ShrId6	裝甲神殿	護甲聖壇
10816	ShrId7	作戰神殿	作戰聖壇
10817	ShrId8	抗火焰神殿	抗火聖壇
10818	ShrId9	抗冰凍神殿	抗寒聖壇
10819	ShrId10	抗閃電神殿	抗電聖壇
10820	ShrId11	抗毒素神殿	抗毒聖壇
10821	ShrId12	技能神殿	技能聖壇
10822	ShrId13	法力補充神殿	法力恢復聖壇
10823	ShrId14	耐力神殿	精力聖壇
10824	ShrId15	經驗神殿	經驗聖壇
10825	ShrId16	辨視神殿	壇聖聖壇
10826	ShrId17	傳送神殿	傳送聖壇
10827	ShrId18	寶石神殿	寶石聖壇
10828	ShrId19	火焰神殿	火焰聖壇
10829	ShrId20	怪物神殿	怪物聖壇
10830	ShrId21	爆裂神殿	爆炸聖壇
10831	ShrId22	毒素神殿	劇毒聖壇
22592	Shrine2wilderness	神殿	聖壇
22593	Shrine3wilderness	神殿	聖壇
